SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,5927 Kirkcaldy Ln,Alexandria,VA,22315,549000,2,3.0,KINGSTOWNE SEC 34D,2022,1335,2000,8,272,120,Active,,,http://www.redfin.com/VA/Alexandria/5927-Kirkcaldy-Ln-22315/home/9783485,BRIGHT MLS,VAFX2028266,N,Y,38.766891,-77.138757
MLS Listing,,Condo/Co-op,2707 Adams Mill Rd NW #204,Washington,DC,20009,370000,1,1.0,MOUNT PLEASANT,650,,1927,8,569,576,Active,November-7-2021 12:00 PM,November-7-2021 02:00 PM,http://www.redfin.com/DC/Washington/2707-Adams-Mill-Rd-NW-20009/unit-204/home/26846121,BRIGHT MLS,DCDC2000055,N,Y,38.9244372,-77.0444379
MLS Listing,,Condo/Co-op,1314 Massachusetts Ave NW Unit G-08,Washington,DC,20005,254900,0,1.0,CENTRAL,315,,1947,8,809,184,Active,,,http://www.redfin.com/DC/Washington/1314-Massachusetts-Ave-NW-20005/unit-G-08/home/12534165,BRIGHT MLS,DCDC2000377,N,Y,38.9048334,-77.0306739
MLS Listing,,Townhouse,50 Quincy Pl NE,Washington,DC,20002,925000,4,2.0,ECKINGTON,2358,1500,1900,8,392,,Active,November-6-2021 02:00 PM,November-6-2021 05:00 PM,http://www.redfin.com/DC/Washington/50-Quincy-Pl-NE-20002/home/10072849,BRIGHT MLS,DCDC2001563,N,Y,38.9120205,-77.0070333
MLS Listing,,Single Family Residential,4005 N Richmond St,Arlington,VA,22207,1850000,5,4.5,ARLINGWOOD,4700,8856,2011,8,394,366,Active,,,http://www.redfin.com/VA/Arlington/4005-N-Richmond-St-22207/home/23385528,BRIGHT MLS,VAAR2006462,N,Y,38.927179,-77.1218647
MLS Listing,,Townhouse,8023 Sleepy View Ln,Springfield,VA,22153,490000,3,3.5,PT SARATOGA TOWNHOUSES,1584,1760,1979,8,309,,Active,,,http://www.redfin.com/VA/Springfield/8023-Sleepy-View-Ln-22153/home/9803238,BRIGHT MLS,VAFX2027090,N,Y,38.739211,-77.21753
MLS Listing,,Single Family Residential,2603 Arvin St,Silver Spring,MD,20902,599900,5,3.0,WHEATON HILLS,2499,6090,1949,9,240,,Active,November-5-2021 08:00 AM,November-5-2021 08:00 PM,http://www.redfin.com/MD/Silver-Spring/2603-Arvin-St-20902/home/11007853,BRIGHT MLS,MDMC2019470,N,Y,39.0465885,-77.0537704
MLS Listing,,Townhouse,924 4th St SE,Washington,DC,20003,945000,3,2.0,OLD CITY I,1540,725,2010,9,614,90,Active,November-6-2021 12:00 PM,November-6-2021 02:00 PM,http://www.redfin.com/DC/Washington/924-4th-St-SE-20003/home/39955882,BRIGHT MLS,DCDC2017968,N,Y,38.8788857,-77.0000261
MLS Listing,,Townhouse,508 E Luray Ave,Alexandria,VA,22301,709000,3,2.0,BRENTON,1200,1504,1944,10,591,,Active,,,http://www.redfin.com/VA/Alexandria/508-E-Luray-Ave-22301/home/22668757,BRIGHT MLS,VAAX2004840,N,Y,38.8183417,-77.0544424
MLS Listing,,Townhouse,5001 Domain Pl #2,Alexandria,VA,22311,595000,3,3.0,DOMAIN,2070,,1975,10,287,117,Active,,,http://www.redfin.com/VA/Alexandria/5001-Domain-Pl-22311/unit-2/home/39856654,BRIGHT MLS,VAAX2000215,N,Y,38.8390311,-77.1144526
